Welcome to log!
	 Below you'll see any bug and progress of your programm:

Start Hamiltonian Build
H = 
 diagonal	off-diagonal
2.00299		-1
2.00296		-1
2.00293		-1
2.0029		-1
2.00287		-1
2.00284		-1
2.00281		-1
2.00278		-1
2.00275		-1
2.00273		-1
2.0027		-1
2.00267		-1
2.00264		-1
2.00261		-1
2.00258		-1
2.00256		-1
2.00253		-1
2.0025		-1
2.00248		-1
2.00245		-1
2.00242		-1
2.00239		-1
2.00237		-1
2.00234		-1
2.00231		-1
2.00229		-1
2.00226		-1
2.00224		-1
2.00221		-1
2.00218		-1
2.00216		-1
2.00213		-1
2.00211		-1
2.00208		-1
2.00206		-1
2.00203		-1
2.00201		-1
2.00199		-1
2.00196		-1
2.00194		-1
2.00191		-1
2.00189		-1
2.00187		-1
2.00184		-1
2.00182		-1
2.0018		-1
2.00177		-1
2.00175		-1
2.00173		-1
2.0017		-1
2.00168		-1
2.00166		-1
2.00164		-1
2.00161		-1
2.00159		-1
2.00157		-1
2.00155		-1
2.00153		-1
2.00151		-1
2.00149		-1
2.00146		-1
2.00144		-1
2.00142		-1
2.0014		-1
2.00138		-1
2.00136		-1
2.00134		-1
2.00132		-1
2.0013		-1
2.00128		-1
2.00126		-1
2.00124		-1
2.00122		-1
2.00121		-1
2.00119		-1
2.00117		-1
2.00115		-1
2.00113		-1
2.00111		-1
2.00109		-1
2.00108		-1
2.00106		-1
2.00104		-1
2.00102		-1
2.00101		-1
2.00099		-1
2.00097		-1
2.00095		-1
2.00094		-1
2.00092		-1
2.0009		-1
2.00089		-1
2.00087		-1
2.00086		-1
2.00084		-1
2.00082		-1
2.00081		-1
2.00079		-1
2.00078		-1
2.00076		-1
2.00075		-1
2.00073		-1
2.00072		-1
2.0007		-1
2.00069		-1
2.00067		-1
2.00066		-1
2.00065		-1
2.00063		-1
2.00062		-1
2.00061		-1
2.00059		-1
2.00058		-1
2.00057		-1
2.00055		-1
2.00054		-1
2.00053		-1
2.00051		-1
2.0005		-1
2.00049		-1
2.00048		-1
2.00047		-1
2.00045		-1
2.00044		-1
2.00043		-1
2.00042		-1
2.00041		-1
2.0004		-1
2.00039		-1
2.00038		-1
2.00037		-1
2.00036		-1
2.00035		-1
2.00034		-1
2.00033		-1
2.00032		-1
2.00031		-1
2.0003		-1
2.00029		-1
2.00028		-1
2.00027		-1
2.00026		-1
2.00025		-1
2.00024		-1
2.00023		-1
2.00023		-1
2.00022		-1
2.00021		-1
2.0002		-1
2.00019		-1
2.00019		-1
2.00018		-1
2.00017		-1
2.00017		-1
2.00016		-1
2.00015		-1
2.00014		-1
2.00014		-1
2.00013		-1
2.00013		-1
2.00012		-1
2.00011		-1
2.00011		-1
2.0001		-1
2.0001		-1
2.00009		-1
2.00009		-1
2.00008		-1
2.00008		-1
2.00007		-1
2.00007		-1
2.00006		-1
2.00006		-1
2.00005		-1
2.00005		-1
2.00005		-1
2.00004		-1
2.00004		-1
2.00004		-1
2.00003		-1
2.00003		-1
2.00003		-1
2.00002		-1
2.00002		-1
